Block Height,Timestamp,Address,Algorithm,Difficulty
3413968,2025-07-29 14:18:35,Unknown,Stake,90225459.48242055
3413969,2025-07-29 14:18:22,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,21.6315015859099
3413970,2025-07-29 14:19:41,Unknown,Stake,98586815.43093756
3413971,2025-07-29 14:19:35,Unknown,Stake,99161070.46748306
3413972,2025-07-29 14:19:35,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02547987387394393
3413973,2025-07-29 14:24:05,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,22.31741432909917
3413974,2025-07-29 14:23:51,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.85389804457348
3413975,2025-07-29 14:23:37,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,13.50580097954925
3413976,2025-07-29 14:24:54,Unknown,Stake,90418781.09962618
3413977,2025-07-29 14:25:19,Unknown,Stake,90461033.50471619
3413978,2025-07-29 14:25:08,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02610731506770732
3413979,2025-07-29 14:28:04,Unknown,Stake,99225320.90074249
3413980,2025-07-29 14:28:00,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.91092837458345
3413981,2025-07-29 14:31:26,Unknown,Stake,90579049.23069298
3413982,2025-07-29 14:31:17,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,16.89737066334701
3413983,2025-07-29 14:31:59,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.95411353229899
3413984,2025-07-29 14:34:19,Unknown,Stake,90596279.51472673
3413985,2025-07-29 14:34:05,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.03270834728685
3413986,2025-07-29 14:36:00,Unknown,Stake,90613603.86860915
3413987,2025-07-29 14:35:45,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,21.80366388721382
3413988,2025-07-29 14:38:54,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,21.75760130206138
3413989,2025-07-29 14:40:09,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,17.18952580894038
3413990,2025-07-29 14:40:01,Unknown,Stake,90630993.21415807
3413991,2025-07-29 14:39:47,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02541432307582531
3413992,2025-07-29 14:40:39,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,22.02946811122827
3413993,2025-07-29 14:41:34,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,23.16917251179729
3413994,2025-07-29 14:43:20,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,23.4479481424127
3413995,2025-07-29 14:44:04,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02620123475842569
3413996,2025-07-29 14:44:46,Unknown,Stake,90648447.62239942
3413997,2025-07-29 14:46:12,Unknown,Stake,90685275.70175967
3413998,2025-07-29 14:46:00,Unknown,Stake,97272755.20804197
3413999,2025-07-29 14:46:14,Unknown,Stake,97536143.8485222
3414000,2025-07-29 14:46:05,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,17.53223097831482
3414001,2025-07-29 14:51:04,Unknown,Stake,99102485.72224894
3414002,2025-07-29 14:51:23,Unknown,Stake,90926667.2707626
3414003,2025-07-29 14:52:01,Unknown,Stake,97128620.91749349
3414004,2025-07-29 14:51:48,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,17.60963142177881
3414005,2025-07-29 14:56:08,Unknown,Stake,98528803.59688945
3414006,2025-07-29 14:56:04,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02546436969905144
3414007,2025-07-29 14:56:18,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02541905465242202
3414008,2025-07-29 14:58:10,Unknown,Stake,91139207.13367613
3414009,2025-07-29 14:57:56,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02746953348529216
